Name,Price,Link
LG 30 in. 6.3 cu.ft Stainless-steel Slide-in Electric Range with ProBake Convection and EasyClean Technology,"$1,394.99",https://www.costco.ca/lg-30-in.-6.3-cu.ft-stainless-steel-slide-in-electric-range-with-probake-convection-and-easyclean-technology.product.100357487.html
Samsung 7.5 cu.ft Black Stainless Steel Dryer with FlexDry Technology,"$1,594.99",https://www.costco.ca/samsung-7.5-cu.ft-black-stainless-steel-dryer-with-flexdry-technology.product.100358154.html
Samsung 2-piece Black Stainless Steel Front Load Laundry Suite with 5.8 cu.ft Washer with Flexwash Technology and 7.5 cu.ft Dryer with FlexDry Technology,"$3,199.99",https://www.costco.ca/samsung-2-piece-black-stainless-steel-front-load-laundry-suite-with-5.8-cu.ft-washer-with-flexwash-technology-and-7.5-cu.ft-dryer-with-flexdry-technology.product.100358163.html
Samsung 2-piece Black Stainless Steel Laundry Suite with 6.2 cu.ft Washer with ActiveWash Technology and 7.4 cu.ft Dryer with MultiSteam Technology,"$1,949.99",https://www.costco.ca/samsung-2-piece-black-stainless-steel-laundry-suite-with-6.2-cu.ft-washer-with-activewash-technology-and-7.4-cu.ft-dryer-with-multisteam-technology.product.100366843.html
GermGuardian True HEPA Ultra-quiet Air Purifier Console with Bonus Filter,$229.99,https://www.costco.ca/germguardian-true-hepa-ultra-quiet-air-purifier-console-with-bonus-filter.product.100376816.html
TygerWire 10.6 m (35 ft.) 4K HDMI Cable,$33.99,https://www.costco.ca/tygerwire-10.6-m-(35-ft.)-4k-hdmi-cable.product.100378829.html
TygerWire 15.2 m (50 ft.) 4K HDMI Cable,$49.99,https://www.costco.ca/tygerwire-15.2-m-(50-ft.)-4k-hdmi-cable.product.100378828.html
Unique Prestige 24 in. 2.3 cu.ft Stainless-Steel  4-Burner Convection Gas Range,"$1,299.99",https://www.costco.ca/unique-prestige-24-in.-2.3-cu.ft-stainless-steel--4-burner-convection-gas-range.product.100390681.html
Segma Ella Area Rug,$199.99,https://www.costco.ca/segma-ella-area-rug.product.100393132.html
Samsung 24 in. Built-In Dishwasher with StormWash Technology - Stainless Steel,$744.99,https://www.costco.ca/samsung-24-in.-built-in-dishwasher-with-stormwash-technology---stainless-steel.product.100397020.html
Ooma Telo Air  Home Phone Service Bundle,$89.99,https://www.costco.ca/ooma-telo-air--home-phone-service-bundle.product.100414810.html
Samsung 2.6 cu. ft. 24 in. Grey Compact Front-load Washer with SuperSpeed Feature,"$1,144.99",https://www.costco.ca/samsung-2.6-cu.-ft.-24-in.-grey-compact-front-load-washer-with-superspeed-feature.product.100412473.html
"Midland X-Talker 2-way Radios, 3-pack",$84.99,https://www.costco.ca/midland-x-talker-2-way-radios%2c-3-pack.product.100413867.html
LG 36 in. 27.7 cu. ft. 3 Door French Door Refrigerator with Door-in-Door,"$2,594.99",https://www.costco.ca/lg-36-in.-27.7-cu.-ft.-3-door-french-door-refrigerator-with-door-in-door.product.100387256.html
LG 30 in. Induction Slide-in Range with ProBake Convection and EasyClean Technology,"$2,994.99",https://www.costco.ca/lg-30-in.-induction-slide-in-range-with-probake-convection-and-easyclean-technology.product.100387254.html
Play Snow Secure Igloo Structure,$249.99,https://www.costco.ca/play-snow-secure-igloo-structure.product.100385368.html
Samsung 24 in. White Built-In Dishwasher with StormWash Technology,$744.99,https://www.costco.ca/samsung-24-in.-white-built-in-dishwasher-with-stormwash-technology.product.100397019.html
Fussball Bean Bag,$109.99,https://www.costco.ca/fussball-bean-bag.product.100214825.html
"Jumping Bean Lighthouse Roast Coffee - Fairtrade and Organic,  120 Pods",$49.99,https://www.costco.ca/jumping-bean-lighthouse-roast-coffee---fairtrade-and-organic%2c--120-pods.product.100222352.html
Fujitsu ScanSnap S1300i Duplex Colour Scanner,$299.99,https://www.costco.ca/fujitsu-scansnap-s1300i-duplex-colour-scanner.product.100278732.html
Malibu XL Bean Bag,$109.99,https://www.costco.ca/malibu-xl-bean-bag.product.100290862.html
Canadian Down & Feather Company Quilted White Goose Feather Medium Pillow 4-pack,$99.99,https://www.costco.ca/canadian-down-%2526-feather-company-quilted-white-goose-feather-medium-pillow-4-pack.product.100303311.html
LG 30 in. 22 cu. ft. Stainless-steel Bottom Freezer Drawer Refrigerator with Inverter Linear Compressor,"$1,394.99",https://www.costco.ca/lg-30-in.-22-cu.-ft.-stainless-steel-bottom-freezer-drawer-refrigerator-with-inverter-linear-compressor.product.100357489.html
LG 24 in. Stainless-steel Built-in Dishwasher with QuadWash System and Inverter DirectDrive Motor,$894.99,https://www.costco.ca/lg-24-in.-stainless-steel-built-in-dishwasher-with-quadwash-system-and-inverter-directdrive-motor.product.100357484.html
Samsung 5.8 cu.ft Black Stainless Steel Washer with FlexWash Technology,"$1,694.99",https://www.costco.ca/samsung-5.8-cu.ft-black-stainless-steel-washer-with-flexwash-technology.product.100358153.html
Swiss Comforts Down Alternative Microfibre Pillow 4-pack,$49.99,https://www.costco.ca/swiss-comforts-down-alternative-microfibre-pillow-4-pack.product.100361906.html
Midland LXT633VP3 36-channel Radios,$137.99,https://www.costco.ca/midland-lxt633vp3-36-channel-radios.product.100362589.html
Samsung 6.2 cu.ft Black Stainless Steel Top Load Washer with ActiveWash Technology,"$1,044.99",https://www.costco.ca/samsung-6.2-cu.ft-black-stainless-steel-top-load-washer-with-activewash-technology.product.100366825.html
Samsung 7.4 cu.ft Black Stainless Steel Dryer with MultiSteam Technology,"$1,044.99",https://www.costco.ca/samsung-7.4-cu.ft-black-stainless-steel-dryer-with-multisteam-technology.product.100366826.html
LG 36 in. 27.9 cu. ft.  French Door Refrigerator with Slim SpacePlus Ice System,"$2,294.99",https://www.costco.ca/lg-36-in.-27.9-cu.-ft.--french-door-refrigerator-with-slim-spaceplus-ice-system.product.100387255.html
Ancona Pro Insert Range Hood with LED Lights 600 CFM,$639.99,https://www.costco.ca/ancona-pro-insert-range-hood-with-led-lights-600-cfm.product.100389391.html
Margaritaville Bahamas Frozen Concoction Maker with Travel Bag,$179.99,https://www.costco.ca/margaritaville-bahamas-frozen-concoction-maker-with-travel-bag.product.100393527.html
Segma Joan Indoor Area Rug,$199.99,https://www.costco.ca/segma-joan-indoor-area-rug.product.100424885.html
Amped Wireless REC22P-CA High Power AC1200 Plug-in WiFi Range Extender,$39.99,https://www.costco.ca/amped-wireless-rec22p-ca-high-power-ac1200-plug-in-wifi-range-extender.product.100417704.html
Waterpik Water Flosser Combo Pack,$64.99,https://www.costco.ca/waterpik-water-flosser-combo-pack.product.100422218.html
Castrol EDGE SPT 5W20 Motor oil 3 x 5 L,$89.49,https://www.costco.ca/castrol-edge-spt-5w20-motor-oil-3-x-5-l.product.100146033.html
Castrol EDGE SPT 5W40 Motor Oil 3 x 5 L,$89.49,https://www.costco.ca/castrol-edge-spt-5w40-motor-oil-3-x-5-l.product.100146034.html
Castrol EDGE SPT 0W20 Motor Oil 3 x 5 L,$89.49,https://www.costco.ca/castrol-edge-spt-0w20-motor-oil-3-x-5-l.product.100146871.html
Kanto MTM65PL Mobile Mount with Adjustable Shelf for 37-in. to 65-in. Flat Panel TVs,$159.99,https://www.costco.ca/kanto-mtm65pl-mobile-mount-with-adjustable-shelf-for-37-in.-to-65-in.-flat-panel-tvs.product.100157215.html
Round Brilliant Diamond Wedding Band (0.50 ctw),$799.99,https://www.costco.ca/round-brilliant-diamond-wedding-band-(0.50-ctw).product.100155282.html
